target_id	length	eff_length	est_counts	tpm
TTHERM_00161861	420	230.842	35	1.16963
TTHERM_00161860	4356	4163.27	14090	26.1078
TTHERM_00161850	1200	1007.27	2136	16.3588
TTHERM_00161840	498	306.595	3534	88.9191
TTHERM_00161830	1077	884.265	1422	12.4054
TTHERM_00161820	12579	12386.3	3837	2.38971
TTHERM_00161810	1179	986.265	1	0.00782167
TTHERM_00161800	2253	2060.27	3	0.0112329
TTHERM_00161879	501	309.549	6	0.149526
TTHERM_00161790	1458	1265.27	320	1.95102
TTHERM_00161780	699	506.376	416	6.33743
TTHERM_00161759	2763	2570.27	2146	6.44088
TTHERM_00161760	408	219.41	45	1.58215
TTHERM_00161750	1083	890.265	7148	61.9382
TTHERM_00161740	1548	1355.27	2614	14.879
TTHERM_00161720	11100	10907.3	3397	2.40255
TTHERM_00161709	438	248.086	0	0
TTHERM_00161700	2685	2492.27	116	0.359052
TTHERM_00161690	2991	2798.27	2202	6.07047
TTHERM_00161680	3873	3680.27	124	0.259918
TTHERM_00161670	4260	4067.27	22	0.0417267
TTHERM_00161660	432	242.284	1291	41.105
TTHERM_00161650	555	362.981	772	16.4069
TTHERM_00161640	1821	1628.27	1037	4.913
TTHERM_00161630	768	575.297	453	6.07435
TTHERM_00161620	633	440.56	1723	30.1699
TTHERM_00161578	1674	1481.27	49	0.255186
TTHERM_00161579	585	392.811	407	7.9929
TTHERM_00161580	1806	1613.27	265	1.26717
TTHERM_00161570	2310	2117.27	58	0.211323
TTHERM_00161560	930	737.265	886	9.27051
TTHERM_00161539	1347	1154.27	2366	15.8126
TTHERM_00161540	675	482.376	2200	35.1828
TTHERM_00161530	660	467.4	2344	38.6867
TTHERM_00161525	270	96.3635	0	0
TTHERM_00161520	474	283.024	41	1.11752
TTHERM_00161510	468	277.165	78	2.17095
TTHERM_00161500	1773	1580.27	375	1.83061
TTHERM_00161490	561	368.926	590	12.3369
TTHERM_00161480	258	86.8735	2270	201.573
TTHERM_00161459	690	497.376	992	15.3858
TTHERM_00161460	882	689.265	289	3.23448
TTHERM_00161450	5973	5780.27	150	0.200188
TTHERM_00161430	1278	1085.27	222	1.57801
TTHERM_00161419	1182	989.265	114	0.888967
TTHERM_00161420	1800	1607.27	3278	15.7331
TTHERM_00161410	2040	1847.27	260	1.08577
TTHERM_00161390	4023	3830.27	205	0.412875
TTHERM_00161370	1704	1511.27	252	1.28633
TTHERM_00161340	4080	3887.27	1137	2.25637
TTHERM_00161330	3186	2993.27	123	0.316996
TTHERM_00161297	282	106.34	507	36.7795
TTHERM_00161298	1368	1175.27	124	0.813915
TTHERM_00161299	570	377.888	11	0.224555
TTHERM_00161300	5406	5213.27	69	0.102102
TTHERM_00161290	2874	2681.27	232	0.667485
TTHERM_00161279	2964	2771.27	270	0.751587
TTHERM_00161280	2985	2792.27	241	0.665816
TTHERM_00161270	648	455.469	1350	22.8648
TTHERM_00161260	1359	1166.27	6421	42.4716
TTHERM_00161250	1353	1160.27	13177	87.6098
TTHERM_00161230	2577	2384.27	1110	3.59138
TTHERM_00161220	2370	2177.27	343	1.21528
TTHERM_00161210	519	327.39	8569	201.91
TTHERM_00161200	270	96.3635	28482	2280.09
TTHERM_00161180	1272	1079.27	2909	20.7926
TTHERM_00161170	633	440.56	3095	54.1938
TTHERM_00161160	1206	1013.27	226	1.7206
TTHERM_00161150	1272	1079.27	315	2.25152
TTHERM_00161140	1257	1064.27	542	3.92865
TTHERM_00161130	975	782.265	85321	841.386
TTHERM_00161120	2424	2231.27	295	1.01992
TTHERM_00161110	1659	1466.27	600	3.15669
TTHERM_00161100	3477	3284.27	247	0.580166
TTHERM_00161090	1590	1397.27	936	5.16762
TTHERM_00161070	1212	1019.27	1919	14.5238
TTHERM_00161060	381	193.919	96478	3837.97
TTHERM_00161050	1527	1334.27	3434	19.8542
TTHERM_00161029	1785	1592.27	67	0.324603
TTHERM_00161030	1686	1493.27	516	2.66567
TTHERM_00161031	426	236.501	2	0.0652365
TTHERM_00160999	456	265.506	83926	2438.46
TTHERM_00161000	369	182.696	13315	562.218
TTHERM_00160990	2208	2015.27	3003	11.4952
TTHERM_00160980	2232	2039.27	259	0.97976
TTHERM_00160970	2679	2486.27	163	0.505747
TTHERM_00160960	924	731.265	11909	125.63
TTHERM_00160950	3513	3320.27	722	1.67748
TTHERM_00160930	1521	1328.27	497	2.88646
TTHERM_00160920	2745	2552.27	158	0.477557
TTHERM_00160910	528	336.274	636	14.5901
TTHERM_00160868	570	377.888	392	8.00233
TTHERM_00160869	852	659.265	3332	38.9887
TTHERM_00160870	4725	4532.27	44	0.0748912
TTHERM_00160860	3444	3251.27	587	1.39277
TTHERM_00160849	1848	1655.27	845	3.93806
TTHERM_00160850	3318	3125.27	41	0.101202
TTHERM_00160840	876	683.265	1018	11.4935
TTHERM_00160830	3207	3014.27	115	0.294313
TTHERM_00160820	1203	1010.27	205	1.56535
TTHERM_00160810	1179	986.265	7756	60.6649
TTHERM_00160799	372	185.489	0	0
TTHERM_00160800	1179	986.265	13	0.101682
TTHERM_00160795	360	174.29	0	0
TTHERM_00160790	1230	1037.27	978	7.27348
TTHERM_00160780	3924	3731.27	153	0.316322
TTHERM_00160775	468	277.165	0	0
TTHERM_00160770	753	560.297	37509	516.429
TTHERM_00160769	300	121.243	2385	151.749
TTHERM_00160760	750	557.297	8	0.110738
TTHERM_00160750	744	551.297	5898	82.5302
TTHERM_00160740	1845	1652.27	65	0.303478
TTHERM_00160719	1038	845.265	265	2.4185
TTHERM_00160720	3192	2999.27	2502	6.43526
TTHERM_00160710	2085	1892.27	872	3.55491
TTHERM_00160700	1791	1598.27	1720	8.30182
TTHERM_00160690	309	129.002	7161	428.225
TTHERM_00160680	1866	1673.27	5277	24.3285
TTHERM_00160670	1803	1610.27	1753	8.39804
TTHERM_00160660	1095	902.265	330	2.82146
TTHERM_00160650	945	752.265	73	0.748592
TTHERM_00160640	939	746.265	18	0.186068
TTHERM_00160630	897	704.265	9	0.0985825
TTHERM_00160620	1197	1004.27	463	3.55653
TTHERM_00160610	1842	1649.27	139	0.650156
TTHERM_00160603	1677	1484.27	73	0.379407
TTHERM_00160600	2538	2345.27	6	0.0197357
TTHERM_00160595	2187	1994.27	13	0.0502868
TTHERM_00160590	2484	2291.27	2	0.00673361
TTHERM_00160580	2853	2660.27	183	0.530664
TTHERM_00160559	3579	3386.27	534	1.2165
TTHERM_00160560	801	608.297	274	3.47479
TTHERM_00160550	6921	6728.27	1793	2.05575
TTHERM_00160539	636	443.56	17	0.295659
TTHERM_00160540	630	437.581	4	0.0705171
TTHERM_00158528	624	431.581	1	0.0178744
TTHERM_00158529	639	446.537	43	0.742855
TTHERM_00158530	741	548.297	21	0.295459
TTHERM_00158525	126	12.8253	0	0
TTHERM_00188520	2121	1928.27	194891	779.684
TTHERM_00158510	1860	1667.27	100	0.462689
TTHERM_00158500	2022	1829.27	33	0.139165
TTHERM_00158490	1479	1286.27	340	2.03912
TTHERM_00158480	1791	1598.27	677	3.26763
TTHERM_00158459	2130	1937.27	219	0.872064
TTHERM_00158460	2937	2744.27	183	0.514421
TTHERM_00158450	1770	1577.27	1521	7.43906
TTHERM_00158440	1008	815.265	77	0.728593
TTHERM_00158430	3966	3773.27	150	0.306667
TTHERM_00158420	3816	3623.27	1223	2.60387
TTHERM_00158388	114	12.803	0	0
TTHERM_00158389	1242	1049.27	131	0.963118
TTHERM_00158390	342	158.11	1235	60.2562
TTHERM_00158380	4938	4745.27	197	0.320257
TTHERM_00158370	1821	1628.27	1836	8.69843
TTHERM_00158368	543	351.034	92	2.02177
TTHERM_00158360	519	327.39	2817	66.3765
TTHERM_00158340	5007	4814.27	518	0.830029
TTHERM_00158330	3495	3302.27	3	0.00700814
TTHERM_00158320	3546	3353.27	1624	3.73604
TTHERM_00158310	2364	2171.27	18	0.0639519
TTHERM_00158289	1173	980.265	176	1.38504
TTHERM_00158290	1887	1694.27	528	2.40406
TTHERM_00158280	750	557.297	547	7.57171
TTHERM_00158270	459	268.412	4470	128.469
TTHERM_00158260	7560	7367.27	420	0.439781
TTHERM_00158239	1482	1289.27	79	0.472692
TTHERM_00158240	3414	3221.27	424	1.01539
TTHERM_00158230	798	605.297	848	10.8074
TTHERM_00158220	4968	4775.27	179	0.289167
TTHERM_00158210	759	566.297	9136	124.453
TTHERM_00158200	690	497.376	154	2.38852
TTHERM_00158190	1398	1205.27	2604	16.6668
TTHERM_00158180	2463	2270.27	612	2.07955
