target_id	length	eff_length	est_counts	tpm
TTHERM_00161861	420	232.441	8	0.332112
TTHERM_00161860	4356	4165.29	17419	40.3539
TTHERM_00161850	1200	1009.29	3789	36.2256
TTHERM_00161840	498	308.342	1791	56.0494
TTHERM_00161830	1077	886.291	1881	20.4795
TTHERM_00161820	12579	12388.3	2333	1.81723
TTHERM_00161810	1179	988.291	0	0
TTHERM_00161800	2253	2062.29	5	0.0233953
TTHERM_00161879	501	311.28	4	0.123999
TTHERM_00161790	1458	1267.29	150	1.14215
TTHERM_00161780	699	508.368	174	3.30277
TTHERM_00161759	2763	2572.29	2545	9.54719
TTHERM_00161760	408	221.028	103	4.49674
TTHERM_00161750	1083	892.291	4480	48.4484
TTHERM_00161740	1548	1357.29	1981	14.0838
TTHERM_00161720	11100	10909.3	2987	2.64208
TTHERM_00161709	438	249.724	0	0
TTHERM_00161700	2685	2494.29	153	0.591905
TTHERM_00161690	2991	2800.29	1970	6.78845
TTHERM_00161680	3873	3682.29	81	0.212263
TTHERM_00161670	4260	4069.29	18	0.0426836
TTHERM_00161660	432	243.898	636	25.1627
TTHERM_00161650	555	364.711	299	7.91097
TTHERM_00161640	1821	1630.29	549	3.24949
TTHERM_00161630	768	577.33	387	6.46836
TTHERM_00161620	633	442.446	698	15.2231
TTHERM_00161578	1674	1483.29	20	0.13011
TTHERM_00161579	585	394.597	373	9.12142
TTHERM_00161580	1806	1615.29	144	0.86024
TTHERM_00161570	2310	2119.29	15	0.0682981
TTHERM_00161560	930	739.291	353	4.60752
TTHERM_00161539	1347	1156.29	1970	16.4402
TTHERM_00161540	675	484.384	1287	25.6387
TTHERM_00161530	660	469.416	858	17.6375
TTHERM_00161525	270	97.4625	0	0
TTHERM_00161520	474	284.786	14	0.474369
TTHERM_00161510	468	278.871	45	1.5571
TTHERM_00161500	1773	1582.29	137	0.835491
TTHERM_00161490	561	370.674	115	2.99373
TTHERM_00161480	258	88.1769	547	59.8605
TTHERM_00161459	690	499.368	767	14.8212
TTHERM_00161460	882	691.291	103	1.43775
TTHERM_00161450	5973	5782.29	133	0.221952
TTHERM_00161430	1278	1087.29	78	0.69224
TTHERM_00161419	1182	991.291	137	1.33361
TTHERM_00161420	1800	1609.29	2559	15.3442
TTHERM_00161410	2040	1849.29	72	0.375695
TTHERM_00161390	4023	3832.29	172	0.433089
